description,ProtT5_ANN_prob,SaProt_ANN_prob,avg_prob,final_prediction
sp|B6T5Z6|ERB46_MAIZE,0.9776742458343506,0.9999864101409912,0.9888303279876709,True
sp|F4HZD1|JMJ24_ARATH,0.8502427339553833,0.9694389700889587,0.909840852022171,True
sp|F4I240|JMJ17_ARATH,0.45509812235832214,0.7656888961791992,0.6103935092687607,True
sp|I1GN76|VRN1_BRADI,0.9034105539321899,0.9840704202651978,0.9437404870986938,True
sp|K7TLS0|MYB69_MAIZE,0.9858457446098328,0.9994481205940247,0.9926469326019287,True
sp|Q0J995|RLI1_ORYSJ,0.9929667115211487,0.9997690320014954,0.996367871761322,True
sp|Q4G2I2|MYBY1_SORBI,0.9805706739425659,0.9998791813850403,0.9902249276638031,True
sp|Q5W6D6|WR451_ORYSJ,0.9955419898033142,0.999987006187439,0.9977644979953766,True
sp|Q652K4|SHI1_ORYSJ,0.9969227910041809,0.9937188029289246,0.9953207969665527,True
sp|Q67ZB6|JMJ20_ARATH,0.10205309092998505,0.02665223553776741,0.06435266323387623,False
sp|Q8H1S7|JMJ28_ARATH,0.8712759613990784,0.9864611029624939,0.9288685321807861,True
sp|Q9LN09|DPB31_ARATH,0.9748881459236145,0.9945685267448425,0.9847283363342285,True
sp|B4FNX4|MYB31_MAIZE,0.9777849316596985,0.9965498447418213,0.9871673882007599,True
sp|C0SV12|JMJ29_ARATH,0.824878990650177,0.9055765271186829,0.8652277588844299,True
sp|K7UPS5|MYB42_MAIZE,0.973782479763031,0.9991869926452637,0.9864847362041473,True
sp|A0A1U8IPT1|CB60B_GOSHI,0.9660745859146118,0.9713513851165771,0.9687129855155945,True
sp|A0A3Q7EKL1|AGL6_SOLLC,0.9434866905212402,0.9891787767410278,0.966332733631134,True
sp|B7F9I5|SLRL1_ORYSJ,0.31284549832344055,0.11049096286296844,0.2116682305932045,False
sp|Q6F368|SLRL2_ORYSJ,0.5617287158966064,0.018031932413578033,0.28988032415509224,False
sp|Q8L7T9|MNM1_ARATH,0.9764097929000854,0.982555091381073,0.9794824421405792,True
